150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau (Persen)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA PADANGSIDIMPUAN,4.28,3.88,3.68,1.7,5.78,-,-,-,-,-,-,-,-,4.45,3.88,3.53,1.33,6.43,-,-,-,-,-,-,-,-,1.14,1.56,1.49,1.25,1.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.02,4.28,4.68,3.35,3.64,-,-,-,-,-,-,-,-
KOTA GUNUNGSITOLI,7.66,6.23,5.96,4.07,6.23,-,-,-,-,-,-,-,-,8.1,6.53,6.44,4.24,6.66,-,-,-,-,-,-,-,-,4.54,2.98,2.98,2.98,3.33,-,-,-,-,-,-,-,-,-1.82,-1.82,-1.82,-2.98,-2.98,-,-,-,-,-,-,-,-,5.07,5.87,3.14,3.14,3.95,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,1.94,4.08,4.96,4.06,7.94,-,-,-,-,-,-,-,-,1.97,4.76,5.83,4.43,9.12,-,-,-,-,-,-,-,-,1.09,1.41,2.33,2.98,3.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.04,1.37,1.29,2.47,3.29,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,2.62,1.65,3.65,-0.28,7.56,-,-,-,-,-,-,-,-,2.8,1.23,3.76,-1.45,8.65,-,-,-,-,-,-,-,-,-0.89,2.14,2.07,2.12,3.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.54,3.31,3.52,4.27,4.01,-,-,-,-,-,-,-,-
KOTA PADANG,2.13,2.14,2.42,1.48,5.49,-,-,-,-,-,-,-,-,1.85,1.74,2.14,0.97,5.96,-,-,-,-,-,-,-,-,2.59,2.52,1.9,0.65,1.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.41,4.04,4.04,4.35,4.82,-,-,-,-,-,-,-,-
KOTA BUKITTINGGI,2.34,4.03,4.26,2.07,4.78,-,-,-,-,-,-,-,-,2.43,4.45,4.69,1.88,5.15,-,-,-,-,-,-,-,-,1.54,2.6,2.44,2.47,2.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.15,2.33,2.64,2.96,3.67,-,-,-,-,-,-,-,-
TEMBILAHAN,4.02,6.68,5.14,3.36,4.83,-,-,-,-,-,-,-,-,4.37,7.53,5.57,2.9,4.61,-,-,-,-,-,-,-,-,1.37,1.16,0.57,6.18,7.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.74,3.36,4.14,5.33,5.28,-,-,-,-,-,-,-,-
KAB KAMPAR,2.07,3.85,3.38,1.08,6.99,-,-,-,-,-,-,-,-,1.85,4.06,3.31,0.51,7.84,-,-,-,-,-,-,-,-,1.92,1.82,5.97,4.51,4.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.09,3.21,3.19,3.13,3.72,-,-,-,-,-,-,-,-
KOTA PEKANBARU,3.52,3.48,2.71,1.49,5.59,-,-,-,-,-,-,-,-,3.85,3.82,2.84,1.25,6.24,-,-,-,-,-,-,-,-,1.97,1.73,1.81,1.18,1.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.26,2.25,2.25,2.96,3.67,-,-,-,-,-,-,-,-
KOTA DUMAI,2.98,4.7,4.11,2.1,5.38,-,-,-,-,-,-,-,-,2.75,5.06,4.37,1.78,5.98,-,-,-,-,-,-,-,-,2.26,1.88,1.4,1.77,1.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.58,3.98,3.93,4.13,3.82,-,-,-,-,-,-,-,-
