150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau (Persen)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,6.09,2.57,1.95,4.53,3.12,2.11,5.11,9.04,10.41,10.4,7.23,15.71,-,6.52,1.48,0.36,3.96,2.16,0.68,4.01,8.92,10.97,10.99,6.83,17.41,-,3.48,3.4,3.83,4.03,3.24,3.97,4.6,4.68,4.18,3.79,3.83,3.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.97,6.83,8.15,7,7.08,7.57,9.66,10.56,9.79,9.72,9.59,11.97,-
MEULABOH,3.68,1.06,0.54,3.14,3.12,2.38,5.41,7.95,7.62,6.72,3.82,8.01,-,2.91,-0.38,-1.09,2.19,2.73,1.19,5.37,8.62,8.22,7.15,3.25,9,-,8.65,7.72,6.48,6.62,0.33,0.44,1.02,1.23,0.77,0.21,0.23,-0.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.18,6.27,6.67,6.67,5.3,7.76,6.41,6.41,6.41,6.11,6.74,5.6,-
KAB ACEH TAMIANG,7.39,6.48,4.95,4.33,1.82,1.74,6.43,7.65,9.24,8.87,5.61,13.14,-,7.16,6.01,4.14,3.87,0.81,0.69,6.84,9.01,11.39,10.74,6.45,15.68,-,4.78,3.7,4.1,4.22,2.19,2.19,2.19,2.29,-2.07,-2.07,-2.07,-1.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.4,9.73,9.22,6.58,6.54,6.57,5.97,3.23,3.59,4.38,4.43,6.6,-
KOTA BANDA ACEH,3.22,1.06,1.08,4.07,1.86,1.96,5.36,7.05,8.44,8.11,5.33,11.83,-,3.18,0.61,0.62,4.11,1.63,1.65,5.6,7.79,9.54,9.21,5.85,13.57,-,1.22,0.72,0.87,1.61,1.79,1.94,1.78,1.96,0.55,0.49,0.93,0.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.86,5.44,5.57,5.38,4.03,4.64,5.41,3.68,3.76,3.41,3.51,3.44,-
KOTA LHOKSEUMAWE,8,5.22,3.42,4.65,3.05,2.16,7.09,9.26,8.63,9.84,7.81,10.19,-,8.15,4.78,2.76,4.15,2.2,1.2,7.16,10.11,9.66,11.53,9.09,12.01,-,3.84,3.96,1.29,1.29,2.05,0.77,0.66,0.42,0.54,0.47,0.36,0.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.58,8.58,8.54,9.13,8.96,8.96,8.96,7.2,5.13,3.11,2.78,2.54,-
KAB LABUHANBATU,7.66,3.92,0.21,1.29,-0.62,0.23,3.52,7.41,11.32,9.38,4.55,6.33,-,7.85,3.35,-1.75,-0.49,-2.92,-2,2.1,7.38,12.32,10.75,4.67,6.89,-,1.14,2.82,6.77,7.26,10.47,9.43,9.46,7.01,6.53,6.35,5.26,5.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.81,7.2,8.65,8.92,8.04,8.84,8.78,7.71,7.91,3.98,3.81,3.81,-
KAB KARO,3.97,1.4,0.49,0.8,-0.61,-0.56,2.39,7.86,8.72,6.94,2.5,4.12,-,5.46,1.99,0.82,0.15,-1.7,-1.47,2.23,9.39,10.49,8.23,3.3,5.44,-,-0.59,0.27,0.35,0.2,-0.36,0.3,0.3,-0.56,-0.97,-0.89,-0.64,-1.19,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-1.65,-0.99,-0.9,3.87,4.41,3.39,3.39,2.47,2.47,2.45,-0.5,-0.91,-
KAB DELI SERDANG,5.84,5.51,3.36,5,2.35,1.06,6.99,11.33,13.69,12.08,8.84,9.9,-,5.2,5.12,2.21,4.55,1.27,-0.13,6.88,12.65,15.84,13.93,9.77,11.05,-,5.89,8.86,10.18,6.65,6.36,6.36,7.53,6.17,5.28,5.22,5.75,5.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.84,6.49,7.59,7.11,7.33,6.12,7.39,5.97,5.16,4.63,4.89,5.01,-
KOTA SIBOLGA,4.98,2.33,-0.11,2.2,0.38,-0.59,3.66,6.82,9.38,8.22,4.71,10.1,-,4.85,1.47,-1.62,1.48,-0.78,-1.5,3.81,7.64,10.86,9.33,4.84,11.34,-,1.29,1.41,1.48,2.3,2.4,2.39,2.39,2.64,3.43,3.43,3.41,3.77,-,0,0,0,0,0,0,0,0,0,0,0,12.5,-,6.57,6.63,6.86,5.62,5.37,2.9,3.28,4.36,4.55,4.7,4.47,6.13,-
KOTA PEMATANGSIANTAR,3.7,3.1,1.47,2.86,0.67,1.9,5.65,8.83,9.68,6.63,5.12,6.74,-,2.24,1.48,-0.48,1.21,-1.14,0.27,5.48,9.53,10.59,7.15,5.26,7.37,-,12.84,13.36,12.75,11.69,11.68,11.58,11.58,11.93,10.29,10.07,9.97,10.19,-,20,20,20,20,20,20,0,0,0,0,0,0,-,9.2,9.35,9.35,9.56,7.78,8.1,5.38,4.72,5.14,3.33,3.41,2.78,-
KOTA MEDAN,5.73,3.28,0.84,2.12,-1.59,-0.6,3.46,8.36,10.61,8.81,6.24,8.51,-,5.83,2.97,0.29,1.72,-2.56,-1.39,3.44,9.36,12.12,9.93,7.04,9.72,-,2.17,1.9,1.2,2.87,2.67,2.59,2.21,2.01,1.62,1.84,1.46,1.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.96,6.96,5.72,5.27,4.65,4.53,4.43,3.64,3.38,3.64,2.37,2.25,-
KOTA PADANGSIDIMPUAN,5.19,3.22,1.12,3.54,1.14,0.34,3.43,7.06,12.53,10.1,6.28,8.26,-,5.07,3.03,0.4,3.33,0.5,-0.39,3.43,8.03,14.91,11.78,7.04,9.54,-,4.52,4.84,4.78,4.63,4.71,3.51,2.88,3.2,3.45,2.43,2.39,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.79,3.8,3.78,4.33,3.44,3.05,3.54,3.58,4.11,4.32,3.7,3.86,-
