region,month,inflation,year,date
KAB KAMPAR,Maret,3.31,2026,3/1/2026
KAB KAMPAR,April,0.51,2026,4/1/2026
KAB KAMPAR,Mei,7.84,2026,5/1/2026
KOTA PEKANBARU,Januari,3.85,2026,1/1/2026
KOTA PEKANBARU,Februari,3.82,2026,2/1/2026
KOTA PEKANBARU,Maret,2.84,2026,3/1/2026
KOTA PEKANBARU,April,1.25,2026,4/1/2026
KOTA PEKANBARU,Mei,6.24,2026,5/1/2026
KOTA DUMAI,Januari,2.75,2026,1/1/2026
KOTA DUMAI,Februari,5.06,2026,2/1/2026
KOTA DUMAI,Maret,4.37,2026,3/1/2026
KOTA DUMAI,April,1.78,2026,4/1/2026
KOTA DUMAI,Mei,5.98,2026,5/1/2026
KAB KERINCI,Januari,0.69,2026,1/1/2026
KAB KERINCI,Februari,2.93,2026,2/1/2026
KAB KERINCI,Maret,7.34,2026,3/1/2026
KAB KERINCI,April,2.82,2026,4/1/2026
KAB KERINCI,Mei,6.88,2026,5/1/2026
MUARA BUNGO,Januari,0.96,2026,1/1/2026
MUARA BUNGO,Februari,4.48,2026,2/1/2026
MUARA BUNGO,Maret,4.75,2026,3/1/2026
MUARA BUNGO,April,3.14,2026,4/1/2026
MUARA BUNGO,Mei,6.61,2026,5/1/2026
KOTA JAMBI,Januari,0.6,2026,1/1/2026
KOTA JAMBI,Februari,2.21,2026,2/1/2026
KOTA JAMBI,Maret,2.29,2026,3/1/2026
KOTA JAMBI,April,1.08,2026,4/1/2026
KOTA JAMBI,Mei,6.27,2026,5/1/2026
KAB OGAN KOMERING ILIR,Januari,-0.5,2026,1/1/2026
KAB OGAN KOMERING ILIR,Februari,1.07,2026,2/1/2026
KAB OGAN KOMERING ILIR,Maret,0.84,2026,3/1/2026
KAB OGAN KOMERING ILIR,April,0.47,2026,4/1/2026
KAB OGAN KOMERING ILIR,Mei,2.51,2026,5/1/2026
KAB MUARA ENIM,Januari,-1.22,2026,1/1/2026
KAB MUARA ENIM,Februari,2.04,2026,2/1/2026
KAB MUARA ENIM,Maret,0.64,2026,3/1/2026
KAB MUARA ENIM,April,-0.68,2026,4/1/2026
KAB MUARA ENIM,Mei,4.06,2026,5/1/2026
KOTA PALEMBANG,Januari,0.12,2026,1/1/2026
KOTA PALEMBANG,Februari,2.67,2026,2/1/2026
KOTA PALEMBANG,Maret,2.36,2026,3/1/2026
KOTA PALEMBANG,April,1.39,2026,4/1/2026
KOTA PALEMBANG,Mei,3.8,2026,5/1/2026
KOTA LUBUK LINGGAU,Januari,-0.09,2026,1/1/2026
KOTA LUBUK LINGGAU,Februari,-0.17,2026,2/1/2026
KOTA LUBUK LINGGAU,Maret,-0.54,2026,3/1/2026
KOTA LUBUK LINGGAU,April,-1.16,2026,4/1/2026
KOTA LUBUK LINGGAU,Mei,2.04,2026,5/1/2026
KAB MUKO MUKO,Januari,1.35,2026,1/1/2026
KAB MUKO MUKO,Februari,5.13,2026,2/1/2026
KAB MUKO MUKO,Maret,6.82,2026,3/1/2026
KAB MUKO MUKO,April,3.55,2026,4/1/2026
KAB MUKO MUKO,Mei,6.8,2026,5/1/2026
KOTA BENGKULU,Januari,1.2,2026,1/1/2026
KOTA BENGKULU,Februari,3.57,2026,2/1/2026
KOTA BENGKULU,Maret,3.51,2026,3/1/2026
KOTA BENGKULU,April,2.9,2026,4/1/2026
KOTA BENGKULU,Mei,6.4,2026,5/1/2026
KAB LAMPUNG TIMUR,Januari,2.83,2026,1/1/2026
KAB LAMPUNG TIMUR,Februari,4.15,2026,2/1/2026
KAB LAMPUNG TIMUR,Maret,-0.73,2026,3/1/2026
KAB LAMPUNG TIMUR,April,0.02,2026,4/1/2026
KAB LAMPUNG TIMUR,Mei,3.55,2026,5/1/2026
