commodity,year,month,price,date
Beras Medium,2023,September,12940,9/1/2023
Kedelai Biji Kering,2023,September,13105,9/1/2023
Bawang Merah,2023,September,25148,9/1/2023
Bawang Putih (Bonggol),2023,September,37651,9/1/2023
Cabai Merah Keriting,2023,September,41007,9/1/2023
Cabai Rawit Merah,2023,September,38539,9/1/2023
Daging Sapi Murni,2023,September,135772,9/1/2023
Daging Ayam Ras,2023,September,35626,9/1/2023
Telur Ayam Ras,2023,September,29054,9/1/2023
Gula Pasir Lokal/Curah,2023,September,15014,9/1/2023
Tepung Terigu Curah,2023,September,11054,9/1/2023
Tepung Terigu Kemasan,2023,September,13758,9/1/2023
Minyak Goreng Kemasan,2023,September,17653,9/1/2023
Minyak Goreng Curah,2023,September,14687,9/1/2023
Jagung Tk. Peternak,2023,September,7064,9/1/2023
Ikan Kembung,2023,September,40305,9/1/2023
Ikan Tongkol,2023,September,36396,9/1/2023
Ikan Bandeng,2023,September,35601,9/1/2023
Garam konsumsi,2023,September,12074,9/1/2023
Beras Premium,2023,Oktober,15014,10/1/2023
Beras Medium,2023,Oktober,13277,10/1/2023
Kedelai Biji Kering,2023,Oktober,13222,10/1/2023
Bawang Merah,2023,Oktober,24403,10/1/2023
Bawang Putih (Bonggol),2023,Oktober,36810,10/1/2023
Cabai Merah Keriting,2023,Oktober,46029,10/1/2023
Cabai Rawit Merah,2023,Oktober,55904,10/1/2023
Daging Sapi Murni,2023,Oktober,135393,10/1/2023
Daging Ayam Ras,2023,Oktober,35808,10/1/2023
Telur Ayam Ras,2023,Oktober,28248,10/1/2023
Gula Pasir Lokal/Curah,2023,Oktober,15681,10/1/2023
Tepung Terigu Curah,2023,Oktober,11021,10/1/2023
Tepung Terigu Kemasan,2023,Oktober,13712,10/1/2023
Minyak Goreng Kemasan,2023,Oktober,17581,10/1/2023
Minyak Goreng Curah,2023,Oktober,14623,10/1/2023
Jagung Tk. Peternak,2023,Oktober,7322,10/1/2023
Ikan Kembung,2023,Oktober,39520,10/1/2023
Ikan Tongkol,2023,Oktober,35667,10/1/2023
Ikan Bandeng,2023,Oktober,35610,10/1/2023
Garam konsumsi,2023,Oktober,11972,10/1/2023
Beras Premium,2023,November,15045,11/1/2023
Beras Medium,2023,November,13234,11/1/2023
Kedelai Biji Kering,2023,November,13455,11/1/2023
Bawang Merah,2023,November,28846,11/1/2023
Bawang Putih (Bonggol),2023,November,36112,11/1/2023
Cabai Merah Keriting,2023,November,65453,11/1/2023
Cabai Rawit Merah,2023,November,79462,11/1/2023
Daging Sapi Murni,2023,November,135300,11/1/2023
Daging Ayam Ras,2023,November,35219,11/1/2023
Telur Ayam Ras,2023,November,28415,11/1/2023
Gula Pasir Lokal/Curah,2023,November,16703,11/1/2023
Tepung Terigu Curah,2023,November,10972,11/1/2023
Tepung Terigu Kemasan,2023,November,13689,11/1/2023
Minyak Goreng Kemasan,2023,November,17558,11/1/2023
Minyak Goreng Curah,2023,November,14690,11/1/2023
Jagung Tk. Peternak,2023,November,7499,11/1/2023
Ikan Kembung,2023,November,39109,11/1/2023
Ikan Tongkol,2023,November,34754,11/1/2023
Ikan Bandeng,2023,November,35250,11/1/2023
Garam konsumsi,2023,November,11987,11/1/2023
Beras Premium,2023,Desember,15057,12/1/2023
Beras Medium,2023,Desember,13255,12/1/2023
Kedelai Biji Kering,2023,Desember,13492,12/1/2023
Bawang Merah,2023,Desember,33359,12/1/2023
Bawang Putih (Bonggol),2023,Desember,36954,12/1/2023
Cabai Merah Keriting,2023,Desember,66834,12/1/2023
Cabai Rawit Merah,2023,Desember,88073,12/1/2023
Daging Sapi Murni,2023,Desember,135476,12/1/2023
Daging Ayam Ras,2023,Desember,35499,12/1/2023
Telur Ayam Ras,2023,Desember,28520,12/1/2023
Gula Pasir Lokal/Curah,2023,Desember,17342,12/1/2023
Tepung Terigu Curah,2023,Desember,10914,12/1/2023
Tepung Terigu Kemasan,2023,Desember,13654,12/1/2023
Minyak Goreng Kemasan,2023,Desember,17555,12/1/2023
Minyak Goreng Curah,2023,Desember,14764,12/1/2023
Jagung Tk. Peternak,2023,Desember,7608,12/1/2023
Ikan Kembung,2023,Desember,38903,12/1/2023
Ikan Tongkol,2023,Desember,34442,12/1/2023
Ikan Bandeng,2023,Desember,35134,12/1/2023
Garam konsumsi,2023,Desember,12051,12/1/2023
Beras Premium,2024,Januari,15217,1/1/2024
Beras Medium,2024,Januari,13411,1/1/2024
Kedelai Biji Kering,2024,Januari,13594,1/1/2024
Bawang Merah,2024,Januari,37119,1/1/2024
Bawang Putih (Bonggol),2024,Januari,38980,1/1/2024
Cabai Merah Keriting,2024,Januari,52611,1/1/2024
Cabai Rawit Merah,2024,Januari,56640,1/1/2024
Daging Sapi Murni,2024,Januari,135059,1/1/2024
Daging Ayam Ras,2024,Januari,36139,1/1/2024
Telur Ayam Ras,2024,Januari,28445,1/1/2024
Gula Pasir Lokal/Curah,2024,Januari,17414,1/1/2024
Tepung Terigu Curah,2024,Januari,10818,1/1/2024
Tepung Terigu Kemasan,2024,Januari,13606,1/1/2024
Minyak Goreng Kemasan,2024,Januari,17465,1/1/2024
Minyak Goreng Curah,2024,Januari,14899,1/1/2024
Jagung Tk. Peternak,2024,Januari,8352,1/1/2024
Ikan Kembung,2024,Januari,38930,1/1/2024
Ikan Tongkol,2024,Januari,33874,1/1/2024
Ikan Bandeng,2024,Januari,35104,1/1/2024
Garam konsumsi,2024,Januari,12064,1/1/2024
Beras Premium,2024,Februari,16047,2/1/2024
Beras Medium,2024,Februari,14081,2/1/2024
Kedelai Biji Kering,2024,Februari,13508,2/1/2024
Bawang Merah,2024,Februari,34605,2/1/2024
Bawang Putih (Bonggol),2024,Februari,39090,2/1/2024
Cabai Merah Keriting,2024,Februari,62045,2/1/2024
Cabai Rawit Merah,2024,Februari,58265,2/1/2024
Daging Sapi Murni,2024,Februari,134921,2/1/2024
Daging Ayam Ras,2024,Februari,36997,2/1/2024
Telur Ayam Ras,2024,Februari,29413,2/1/2024
Gula Pasir Lokal/Curah,2024,Februari,17630,2/1/2024
Tepung Terigu Curah,2024,Februari,10781,2/1/2024
Tepung Terigu Kemasan,2024,Februari,13655,2/1/2024
Minyak Goreng Kemasan,2024,Februari,17647,2/1/2024
Minyak Goreng Curah,2024,Februari,15358,2/1/2024
Jagung Tk. Peternak,2024,Februari,9010,2/1/2024
Ikan Kembung,2024,Februari,38809,2/1/2024
Ikan Tongkol,2024,Februari,33583,2/1/2024
Ikan Bandeng,2024,Februari,34891,2/1/2024
Garam konsumsi,2024,Februari,12218,2/1/2024
Beras Premium,2024,Maret,16517,3/1/2024
Beras Medium,2024,Maret,14370,3/1/2024
Kedelai Biji Kering,2024,Maret,13446,3/1/2024
Bawang Merah,2024,Maret,34895,3/1/2024
Bawang Putih (Bonggol),2024,Maret,41118,3/1/2024
Cabai Merah Keriting,2024,Maret,58651,3/1/2024
Cabai Rawit Merah,2024,Maret,59817,3/1/2024
Daging Sapi Murni,2024,Maret,136142,3/1/2024
Daging Ayam Ras,2024,Maret,38512,3/1/2024
Telur Ayam Ras,2024,Maret,31923,3/1/2024
Gula Pasir Lokal/Curah,2024,Maret,17904,3/1/2024
Tepung Terigu Curah,2024,Maret,11524,3/1/2024
Tepung Terigu Kemasan,2024,Maret,14446,3/1/2024
Minyak Goreng Kemasan,2024,Maret,19060,3/1/2024
Minyak Goreng Curah,2024,Maret,15792,3/1/2024
Jagung Tk. Peternak,2024,Maret,8786,3/1/2024
Ikan Kembung,2024,Maret,40702,3/1/2024
Ikan Tongkol,2024,Maret,35754,3/1/2024
Ikan Bandeng,2024,Maret,38691,3/1/2024
Garam konsumsi,2024,Maret,12690,3/1/2024
Beras Premium,2024,April,16102,4/1/2024
Beras Medium,2024,April,13880,4/1/2024
Kedelai Biji Kering,2024,April,13411,4/1/2024
Bawang Merah,2024,April,47804,4/1/2024
Bawang Putih (Bonggol),2024,April,43647,4/1/2024
Cabai Merah Keriting,2024,April,49095,4/1/2024
Cabai Rawit Merah,2024,April,53110,4/1/2024
Daging Sapi Murni,2024,April,137824,4/1/2024
Daging Ayam Ras,2024,April,38884,4/1/2024
Telur Ayam Ras,2024,April,30960,4/1/2024
Gula Pasir Lokal/Curah,2024,April,18145,4/1/2024
Tepung Terigu Curah,2024,April,11474,4/1/2024
Tepung Terigu Kemasan,2024,April,14417,4/1/2024
Minyak Goreng Kemasan,2024,April,19187,4/1/2024
Minyak Goreng Curah,2024,April,15976,4/1/2024
Jagung Tk. Peternak,2024,April,8366,4/1/2024
Ikan Kembung,2024,April,40775,4/1/2024
Ikan Tongkol,2024,April,35784,4/1/2024
Ikan Bandeng,2024,April,38475,4/1/2024
Garam konsumsi,2024,April,12590,4/1/2024
Beras Premium,2024,Mei,15623,5/1/2024
Beras Medium,2024,Mei,13562,5/1/2024
Kedelai Biji Kering,2024,Mei,12282,5/1/2024
Bawang Merah,2024,Mei,48659,5/1/2024
Bawang Putih (Bonggol),2024,Mei,43448,5/1/2024
Cabai Merah Keriting,2024,Mei,48650,5/1/2024
Cabai Rawit Merah,2024,Mei,47795,5/1/2024
Daging Sapi Murni,2024,Mei,136400,5/1/2024
Daging Ayam Ras,2024,Mei,38513,5/1/2024
Telur Ayam Ras,2024,Mei,30731,5/1/2024
Gula Pasir Lokal/Curah,2024,Mei,18435,5/1/2024
Tepung Terigu Curah,2024,Mei,11090,5/1/2024
Tepung Terigu Kemasan,2024,Mei,14383,5/1/2024
Minyak Goreng Kemasan,2024,Mei,19098,5/1/2024
Minyak Goreng Curah,2024,Mei,15902,5/1/2024
Jagung Tk. Peternak,2024,Mei,6172,5/1/2024
Ikan Kembung,2024,Mei,40279,5/1/2024
Ikan Tongkol,2024,Mei,35288,5/1/2024
Ikan Bandeng,2024,Mei,38259,5/1/2024
Garam konsumsi,2024,Mei,12287,5/1/2024
Beras SPHP,2024,Juni,13188,6/1/2024
Beras Premium,2024,Juni,15521,6/1/2024
Beras Medium,2024,Juni,13480,6/1/2024
Kedelai Biji Kering,2024,Juni,12142,6/1/2024
Bawang Merah,2024,Juni,43426,6/1/2024
Bawang Putih (Bonggol),2024,Juni,42582,6/1/2024
Cabai Merah Keriting,2024,Juni,54357,6/1/2024
Cabai Rawit Merah,2024,Juni,51599,6/1/2024
Daging Sapi Murni,2024,Juni,136598,6/1/2024
Daging Ayam Ras,2024,Juni,37493,6/1/2024
Telur Ayam Ras,2024,Juni,30158,6/1/2024
Gula Pasir Lokal/Curah,2024,Juni,18261,6/1/2024
Tepung Terigu Curah,2024,Juni,10829,6/1/2024
Tepung Terigu Kemasan,2024,Juni,14291,6/1/2024
Minyak Goreng Kemasan,2024,Juni,19078,6/1/2024
Minyak Goreng Curah,2024,Juni,15905,6/1/2024
Jagung Tk. Peternak,2024,Juni,5799,6/1/2024
Ikan Kembung,2024,Juni,40583,6/1/2024
Ikan Tongkol,2024,Juni,35616,6/1/2024
Ikan Bandeng,2024,Juni,38090,6/1/2024
Garam konsumsi,2024,Juni,12350,6/1/2024
Beras SPHP,2024,Juli,12819,7/1/2024
Beras Premium,2024,Juli,15582,7/1/2024
Beras Medium,2024,Juli,13598,7/1/2024
Kedelai Biji Kering,2024,Juli,12115,7/1/2024
Bawang Merah,2024,Juli,33616,7/1/2024
Bawang Putih (Bonggol),2024,Juli,40851,7/1/2024
Cabai Merah Keriting,2024,Juli,47255,7/1/2024
Cabai Rawit Merah,2024,Juli,60762,7/1/2024
Daging Sapi Murni,2024,Juli,136056,7/1/2024
Daging Ayam Ras,2024,Juli,36316,7/1/2024
Telur Ayam Ras,2024,Juli,29655,7/1/2024
Gula Pasir Lokal/Curah,2024,Juli,18083,7/1/2024
Tepung Terigu Curah,2024,Juli,10712,7/1/2024
Tepung Terigu Kemasan,2024,Juli,14297,7/1/2024
Minyak Goreng Kemasan,2024,Juli,19190,7/1/2024
Minyak Goreng Curah,2024,Juli,16041,7/1/2024
Jagung Tk. Peternak,2024,Juli,5898,7/1/2024
Ikan Kembung,2024,Juli,40133,7/1/2024
Ikan Tongkol,2024,Juli,35204,7/1/2024
Ikan Bandeng,2024,Juli,37543,7/1/2024
Garam konsumsi,2024,Juli,12377,7/1/2024
Beras SPHP,2024,Agustus,12602,8/1/2024
Beras Premium,2024,Agustus,15606,8/1/2024
Beras Medium,2024,Agustus,13643,8/1/2024
Kedelai Biji Kering,2024,Agustus,12060,8/1/2024
Bawang Merah,2024,Agustus,27097,8/1/2024
Bawang Putih (Bonggol),2024,Agustus,40258,8/1/2024
Cabai Merah Keriting,2024,Agustus,46252,8/1/2024
Cabai Rawit Merah,2024,Agustus,63725,8/1/2024
Daging Sapi Murni,2024,Agustus,136007,8/1/2024
Daging Ayam Ras,2024,Agustus,35809,8/1/2024
Telur Ayam Ras,2024,Agustus,29069,8/1/2024
Gula Pasir Lokal/Curah,2024,Agustus,18003,8/1/2024
Tepung Terigu Curah,2024,Agustus,10337,8/1/2024
Tepung Terigu Kemasan,2024,Agustus,13469,8/1/2024
Minyak Goreng Kemasan,2024,Agustus,18195,8/1/2024
Minyak Goreng Curah,2024,Agustus,16151,8/1/2024
Jagung Tk. Peternak,2024,Agustus,6099,8/1/2024
Ikan Kembung,2024,Agustus,38471,8/1/2024
Ikan Tongkol,2024,Agustus,32804,8/1/2024
Ikan Bandeng,2024,Agustus,34442,8/1/2024
Garam konsumsi,2024,Agustus,11981,8/1/2024
Beras SPHP,2024,September,12589,9/1/2024
Beras Premium,2024,September,15582,9/1/2024
Beras Medium,2024,September,13627,9/1/2024
Kedelai Biji Kering,2024,September,11323,9/1/2024
Bawang Merah,2024,September,27458,9/1/2024
Bawang Putih (Bonggol),2024,September,39960,9/1/2024
Cabai Merah Keriting,2024,September,38206,9/1/2024
Cabai Rawit Merah,2024,September,48753,9/1/2024
Daging Sapi Murni,2024,September,135632,9/1/2024
Daging Ayam Ras,2024,September,35319,9/1/2024
Telur Ayam Ras,2024,September,28662,9/1/2024
Gula Pasir Lokal/Curah,2024,September,17862,9/1/2024
Tepung Terigu Curah,2024,September,10285,9/1/2024
Tepung Terigu Kemasan,2024,September,13244,9/1/2024
Minyak Goreng Kemasan,2024,September,18223,9/1/2024
Minyak Goreng Curah,2024,September,16320,9/1/2024
Jagung Tk. Peternak,2024,September,6228,9/1/2024
Ikan Kembung,2024,September,38532,9/1/2024
Ikan Tongkol,2024,September,32863,9/1/2024
Ikan Bandeng,2024,September,34436,9/1/2024
Garam konsumsi,2024,September,11944,9/1/2024
Beras SPHP,2024,Oktober,12573,10/1/2024
Beras Premium,2024,Oktober,15545,10/1/2024
Beras Medium,2024,Oktober,13606,10/1/2024
Kedelai Biji Kering,2024,Oktober,10786,10/1/2024
Bawang Merah,2024,Oktober,29985,10/1/2024
Bawang Putih (Bonggol),2024,Oktober,40203,10/1/2024
Cabai Merah Keriting,2024,Oktober,33637,10/1/2024
Cabai Rawit Merah,2024,Oktober,47263,10/1/2024
Daging Sapi Murni,2024,Oktober,135503,10/1/2024
Daging Ayam Ras,2024,Oktober,36127,10/1/2024
Telur Ayam Ras,2024,Oktober,28847,10/1/2024
Gula Pasir Lokal/Curah,2024,Oktober,17978,10/1/2024
Tepung Terigu Curah,2024,Oktober,10239,10/1/2024
Tepung Terigu Kemasan,2024,Oktober,13189,10/1/2024
Minyak Goreng Kemasan,2024,Oktober,18336,10/1/2024
Minyak Goreng Curah,2024,Oktober,16579,10/1/2024
Jagung Tk. Peternak,2024,Oktober,6271,10/1/2024
Ikan Kembung,2024,Oktober,38388,10/1/2024
Ikan Tongkol,2024,Oktober,32594,10/1/2024
Ikan Bandeng,2024,Oktober,34419,10/1/2024
Garam konsumsi,2024,Oktober,11814,10/1/2024
Beras SPHP,2024,November,12552,11/1/2024
Beras Premium,2024,November,15491,11/1/2024
Beras Medium,2024,November,13534,11/1/2024
Kedelai Biji Kering,2024,November,10622,11/1/2024
Bawang Merah,2024,November,37628,11/1/2024
Bawang Putih (Bonggol),2024,November,41214,11/1/2024
Cabai Merah Keriting,2024,November,31690,11/1/2024
Cabai Rawit Merah,2024,November,42951,11/1/2024
Daging Sapi Murni,2024,November,135508,11/1/2024
Daging Ayam Ras,2024,November,36778,11/1/2024
Telur Ayam Ras,2024,November,28716,11/1/2024
Gula Pasir Lokal/Curah,2024,November,17993,11/1/2024
Tepung Terigu Curah,2024,November,10216,11/1/2024
Tepung Terigu Kemasan,2024,November,13192,11/1/2024
Minyak Goreng Kemasan,2024,November,18485,11/1/2024
Minyak Goreng Curah,2024,November,17033,11/1/2024
Jagung Tk. Peternak,2024,November,6270,11/1/2024
Ikan Kembung,2024,November,38235,11/1/2024
Ikan Tongkol,2024,November,32244,11/1/2024
Ikan Bandeng,2024,November,34300,11/1/2024
Garam konsumsi,2024,November,11822,11/1/2024
Beras SPHP,2024,Desember,12513,12/1/2024
Beras Premium,2024,Desember,15474,12/1/2024
Beras Medium,2024,Desember,13518,12/1/2024
Kedelai Biji Kering,2024,Desember,10493,12/1/2024
Bawang Merah,2024,Desember,40850,12/1/2024
Bawang Putih (Bonggol),2024,Desember,42574,12/1/2024
Cabai Merah Keriting,2024,Desember,38610,12/1/2024
Cabai Rawit Merah,2024,Desember,47066,12/1/2024
Daging Sapi Murni,2024,Desember,135781,12/1/2024
Daging Ayam Ras,2024,Desember,37469,12/1/2024
Telur Ayam Ras,2024,Desember,29950,12/1/2024
Gula Pasir Lokal/Curah,2024,Desember,18021,12/1/2024
Tepung Terigu Curah,2024,Desember,10204,12/1/2024
Tepung Terigu Kemasan,2024,Desember,13167,12/1/2024
Minyak Goreng Kemasan,2024,Desember,18783,12/1/2024
Minyak Goreng Curah,2024,Desember,17511,12/1/2024
Jagung Tk. Peternak,2024,Desember,6314,12/1/2024
Ikan Kembung,2024,Desember,39111,12/1/2024
Ikan Tongkol,2024,Desember,32997,12/1/2024
Ikan Bandeng,2024,Desember,34788,12/1/2024
Garam konsumsi,2024,Desember,11819,12/1/2024
Beras SPHP,2025,Januari,12492,1/1/2025
Beras Premium,2025,Januari,15442,1/1/2025
Beras Medium,2025,Januari,13546,1/1/2025
Kedelai Biji Kering,2025,Januari,10361,1/1/2025
Bawang Merah,2025,Januari,39040,1/1/2025
Bawang Putih (Bonggol),2025,Januari,42525,1/1/2025
Cabai Merah Keriting,2025,Januari,56445,1/1/2025
Cabai Rawit Merah,2025,Januari,74250,1/1/2025
Daging Sapi Murni,2025,Januari,135258,1/1/2025
Daging Ayam Ras,2025,Januari,37495,1/1/2025
Telur Ayam Ras,2025,Januari,29859,1/1/2025
Gula Pasir Lokal/Curah,2025,Januari,18098,1/1/2025
Tepung Terigu Curah,2025,Januari,9794,1/1/2025
Tepung Terigu Kemasan,2025,Januari,12854,1/1/2025
Minyak Goreng Kemasan,2025,Januari,19963,1/1/2025
Minyak Goreng Curah,2025,Januari,17778,1/1/2025
Jagung Tk. Peternak,2025,Januari,6356,1/1/2025
Ikan Kembung,2025,Januari,39561,1/1/2025
Ikan Tongkol,2025,Januari,32537,1/1/2025
Ikan Bandeng,2025,Januari,33523,1/1/2025
Garam konsumsi,2025,Januari,11717,1/1/2025
Beras SPHP,2025,Februari,12518,2/1/2025
Beras Premium,2025,Februari,15500,2/1/2025
Beras Medium,2025,Februari,13613,2/1/2025
Kedelai Biji Kering,2025,Februari,10511,2/1/2025
Bawang Merah,2025,Februari,35844,2/1/2025
Bawang Putih (Bonggol),2025,Februari,42696,2/1/2025
Cabai Merah Keriting,2025,Februari,52937,2/1/2025
Cabai Rawit Merah,2025,Februari,68786,2/1/2025
Daging Sapi Murni,2025,Februari,134708,2/1/2025
Daging Ayam Ras,2025,Februari,35981,2/1/2025
Telur Ayam Ras,2025,Februari,29440,2/1/2025
Gula Pasir Lokal/Curah,2025,Februari,18331,2/1/2025
Tepung Terigu Curah,2025,Februari,9789,2/1/2025
Tepung Terigu Kemasan,2025,Februari,12900,2/1/2025
Minyak Goreng Kemasan,2025,Februari,20426,2/1/2025
Minyak Goreng Curah,2025,Februari,17849,2/1/2025
Jagung Tk. Peternak,2025,Februari,6357,2/1/2025
Ikan Kembung,2025,Februari,39978,2/1/2025
Ikan Tongkol,2025,Februari,33088,2/1/2025
Ikan Bandeng,2025,Februari,33656,2/1/2025
Garam konsumsi,2025,Februari,11682,2/1/2025
Cabai Merah Besar,2025,Februari,53268,2/1/2025
Minyak Kita,2025,Februari,17644,2/1/2025
Daging Kerbau Beku (Impor),2025,Februari,106836,2/1/2025
Daging Kerbau Segar (Lokal),2025,Februari,144686,2/1/2025
Beras SPHP,2025,Maret,12652,3/1/2025
Beras Premium,2025,Maret,15545,3/1/2025
Beras Medium,2025,Maret,13696,3/1/2025
Kedelai Biji Kering,2025,Maret,10610,3/1/2025
Bawang Merah,2025,Maret,41458,3/1/2025
Bawang Putih (Bonggol),2025,Maret,43839,3/1/2025
Cabai Merah Keriting,2025,Maret,52791,3/1/2025
Cabai Rawit Merah,2025,Maret,85030,3/1/2025
Daging Sapi Murni,2025,Maret,136146,3/1/2025
Daging Ayam Ras,2025,Maret,36400,3/1/2025
Telur Ayam Ras,2025,Maret,29665,3/1/2025
Gula Pasir Lokal/Curah,2025,Maret,18513,3/1/2025
Tepung Terigu Curah,2025,Maret,9807,3/1/2025
Tepung Terigu Kemasan,2025,Maret,12938,3/1/2025
Minyak Goreng Kemasan,2025,Maret,20621,3/1/2025
Minyak Goreng Curah,2025,Maret,17942,3/1/2025
Jagung Tk. Peternak,2025,Maret,6193,3/1/2025
Ikan Kembung,2025,Maret,40827,3/1/2025
Ikan Tongkol,2025,Maret,33789,3/1/2025
Ikan Bandeng,2025,Maret,34097,3/1/2025
Garam konsumsi,2025,Maret,11669,3/1/2025
Cabai Merah Besar,2025,Maret,54278,3/1/2025
Minyak Kita,2025,Maret,17647,3/1/2025
Daging Kerbau Beku (Impor),2025,Maret,106303,3/1/2025
Daging Kerbau Segar (Lokal),2025,Maret,142245,3/1/2025
Beras SPHP,2025,April,12612,4/1/2025
Beras Premium,2025,April,15563,4/1/2025
Beras Medium,2025,April,13715,4/1/2025
Kedelai Biji Kering,2025,April,10715,4/1/2025
Bawang Merah,2025,April,44516,4/1/2025
Bawang Putih (Bonggol),2025,April,44750,4/1/2025
Cabai Merah Keriting,2025,April,58560,4/1/2025
Cabai Rawit Merah,2025,April,77710,4/1/2025
Daging Sapi Murni,2025,April,136153,4/1/2025
Daging Ayam Ras,2025,April,35420,4/1/2025
Telur Ayam Ras,2025,April,29149,4/1/2025
Gula Pasir Lokal/Curah,2025,April,18547,4/1/2025
Tepung Terigu Curah,2025,April,9814,4/1/2025
Tepung Terigu Kemasan,2025,April,12949,4/1/2025
Minyak Goreng Kemasan,2025,April,20694,4/1/2025
Minyak Goreng Curah,2025,April,17929,4/1/2025
Jagung Tk. Peternak,2025,April,6174,4/1/2025
Ikan Kembung,2025,April,41368,4/1/2025
Ikan Tongkol,2025,April,34527,4/1/2025
Ikan Bandeng,2025,April,34577,4/1/2025
Garam konsumsi,2025,April,11669,4/1/2025
Cabai Merah Besar,2025,April,52621,4/1/2025
Minyak Kita,2025,April,17631,4/1/2025
Daging Kerbau Beku (Impor),2025,April,107514,4/1/2025
Daging Kerbau Segar (Lokal),2025,April,141664,4/1/2025
Beras SPHP,2025,Mei,12642,5/1/2025
Beras Premium,2025,Mei,15595,5/1/2025
Beras Medium,2025,Mei,13762,5/1/2025
Kedelai Biji Kering,2025,Mei,10821,5/1/2025
Bawang Merah,2025,Mei,39639,5/1/2025
Bawang Putih (Bonggol),2025,Mei,42519,5/1/2025
Cabai Merah Keriting,2025,Mei,49512,5/1/2025
Cabai Rawit Merah,2025,Mei,52738,5/1/2025
Daging Sapi Murni,2025,Mei,135461,5/1/2025
Daging Ayam Ras,2025,Mei,34814,5/1/2025
Telur Ayam Ras,2025,Mei,29108,5/1/2025
Gula Pasir Lokal/Curah,2025,Mei,18547,5/1/2025
Tepung Terigu Curah,2025,Mei,9811,5/1/2025
Tepung Terigu Kemasan,2025,Mei,12974,5/1/2025
Minyak Goreng Kemasan,2025,Mei,20798,5/1/2025
Minyak Goreng Curah,2025,Mei,17823,5/1/2025
Jagung Tk. Peternak,2025,Mei,6207,5/1/2025
Ikan Kembung,2025,Mei,40823,5/1/2025
Ikan Tongkol,2025,Mei,33869,5/1/2025
Ikan Bandeng,2025,Mei,34216,5/1/2025
Garam konsumsi,2025,Mei,11626,5/1/2025
Cabai Merah Besar,2025,Mei,45031,5/1/2025
Minyak Kita,2025,Mei,17608,5/1/2025
Daging Kerbau Beku (Impor),2025,Mei,107279,5/1/2025
Daging Kerbau Segar (Lokal),2025,Mei,140677,5/1/2025
Beras SPHP,2025,Juni,12585,6/1/2025
Beras Premium,2025,Juni,15747,6/1/2025
Beras Medium,2025,Juni,13996,6/1/2025
Kedelai Biji Kering,2025,Juni,10851,6/1/2025
Bawang Merah,2025,Juni,42262,6/1/2025
Bawang Putih (Bonggol),2025,Juni,39909,6/1/2025
Cabai Merah Keriting,2025,Juni,44444,6/1/2025
Cabai Rawit Merah,2025,Juni,54705,6/1/2025
Daging Sapi Murni,2025,Juni,135375,6/1/2025
Daging Ayam Ras,2025,Juni,35034,6/1/2025
Telur Ayam Ras,2025,Juni,29239,6/1/2025
Gula Pasir Lokal/Curah,2025,Juni,18469,6/1/2025
Tepung Terigu Curah,2025,Juni,9798,6/1/2025
Tepung Terigu Kemasan,2025,Juni,12992,6/1/2025
Minyak Goreng Kemasan,2025,Juni,20834,6/1/2025
Minyak Goreng Curah,2025,Juni,17646,6/1/2025
Jagung Tk. Peternak,2025,Juni,6183,6/1/2025
Ikan Kembung,2025,Juni,40916,6/1/2025
Ikan Tongkol,2025,Juni,33965,6/1/2025
Ikan Bandeng,2025,Juni,34439,6/1/2025
Garam konsumsi,2025,Juni,11643,6/1/2025
Cabai Merah Besar,2025,Juni,45075,6/1/2025
Minyak Kita,2025,Juni,17574,6/1/2025
Daging Kerbau Beku (Impor),2025,Juni,105222,6/1/2025
Daging Kerbau Segar (Lokal),2025,Juni,140961,6/1/2025
Beras SPHP,2025,Juli,12567,7/1/2025
Beras Premium,2025,Juli,16045,7/1/2025
Beras Medium,2025,Juli,14301,7/1/2025
Kedelai Biji Kering,2025,Juli,10851,7/1/2025
Bawang Merah,2025,Juli,46281,7/1/2025
Bawang Putih (Bonggol),2025,Juli,39075,7/1/2025
Cabai Merah Keriting,2025,Juli,44707,7/1/2025
Cabai Rawit Merah,2025,Juli,64351,7/1/2025
Daging Sapi Murni,2025,Juli,135098,7/1/2025
Daging Ayam Ras,2025,Juli,35391,7/1/2025
Telur Ayam Ras,2025,Juli,29469,7/1/2025
Gula Pasir Lokal/Curah,2025,Juli,18350,7/1/2025
Tepung Terigu Curah,2025,Juli,9779,7/1/2025
Tepung Terigu Kemasan,2025,Juli,12976,7/1/2025
Minyak Goreng Kemasan,2025,Juli,20844,7/1/2025
Minyak Goreng Curah,2025,Juli,17520,7/1/2025
Jagung Tk. Peternak,2025,Juli,6221,7/1/2025
Ikan Kembung,2025,Juli,41255,7/1/2025
Ikan Tongkol,2025,Juli,34183,7/1/2025
Ikan Bandeng,2025,Juli,34663,7/1/2025
Garam konsumsi,2025,Juli,11649,7/1/2025
Cabai Merah Besar,2025,Juli,43640,7/1/2025
Minyak Kita,2025,Juli,17547,7/1/2025
Daging Kerbau Beku (Impor),2025,Juli,105220,7/1/2025
Daging Kerbau Segar (Lokal),2025,Juli,141374,7/1/2025
Beras SPHP,2025,Agustus,12620,8/1/2025
Beras Premium,2025,Agustus,16194,8/1/2025
Beras Medium,2025,Agustus,14354,8/1/2025
Kedelai Biji Kering,2025,Agustus,10789,8/1/2025
Bawang Merah,2025,Agustus,51250,8/1/2025
