region,month,inflation,year,date
BANYUWANGI,Januari,4.73,2024,1/1/2024
BANYUWANGI,Februari,5.84,2024,2/1/2024
BANYUWANGI,Maret,5.73,2024,3/1/2024
BANYUWANGI,April,6.66,2024,4/1/2024
BANYUWANGI,Mei,5.95,2024,5/1/2024
BANYUWANGI,Juni,3.53,2024,6/1/2024
BANYUWANGI,Juli,3.03,2024,7/1/2024
BANYUWANGI,Agustus,1.77,2024,8/1/2024
BANYUWANGI,September,1.35,2024,9/1/2024
BANYUWANGI,Oktober,1.06,2024,10/1/2024
BANYUWANGI,November,-0.84,2024,11/1/2024
BANYUWANGI,Desember,0.46,2024,12/1/2024
BULUKUMBA,Januari,4.88,2024,1/1/2024
BULUKUMBA,Februari,4.76,2024,2/1/2024
BULUKUMBA,Maret,4.04,2024,3/1/2024
BULUKUMBA,April,3.69,2024,4/1/2024
BULUKUMBA,Mei,1.99,2024,5/1/2024
BULUKUMBA,Juni,2,2024,6/1/2024
BULUKUMBA,Juli,1.42,2024,7/1/2024
BULUKUMBA,Agustus,1.37,2024,8/1/2024
BULUKUMBA,September,0.69,2024,9/1/2024
BULUKUMBA,Oktober,0.71,2024,10/1/2024
BULUKUMBA,November,-0.25,2024,11/1/2024
BULUKUMBA,Desember,-0.78,2024,12/1/2024
CILACAP,Januari,5.13,2024,1/1/2024
CILACAP,Februari,6.4,2024,2/1/2024
CILACAP,Maret,8.58,2024,3/1/2024
CILACAP,April,7.24,2024,4/1/2024
CILACAP,Mei,6.27,2024,5/1/2024
CILACAP,Juni,4.19,2024,6/1/2024
CILACAP,Juli,3.9,2024,7/1/2024
CILACAP,Agustus,3.47,2024,8/1/2024
CILACAP,September,2.25,2024,9/1/2024
CILACAP,Oktober,2.69,2024,10/1/2024
CILACAP,November,1.12,2024,11/1/2024
CILACAP,Desember,2.26,2024,12/1/2024
INDONESIA,Januari,5.84,2024,1/1/2024
INDONESIA,Februari,6.73,2024,2/1/2024
INDONESIA,Maret,8.09,2024,3/1/2024
INDONESIA,April,7.65,2024,4/1/2024
INDONESIA,Mei,6.62,2024,5/1/2024
INDONESIA,Juni,5.11,2024,6/1/2024
INDONESIA,Juli,3.43,2024,7/1/2024
INDONESIA,Agustus,2.98,2024,8/1/2024
INDONESIA,September,1.87,2024,9/1/2024
INDONESIA,Oktober,1.51,2024,10/1/2024
INDONESIA,November,0.69,2024,11/1/2024
INDONESIA,Desember,1.01,2024,12/1/2024
JEMBER,Januari,4.31,2024,1/1/2024
JEMBER,Februari,5.45,2024,2/1/2024
JEMBER,Maret,6.79,2024,3/1/2024
JEMBER,April,6.89,2024,4/1/2024
JEMBER,Mei,5.56,2024,5/1/2024
JEMBER,Juni,3.79,2024,6/1/2024
JEMBER,Juli,3.4,2024,7/1/2024
JEMBER,Agustus,3.4,2024,8/1/2024
JEMBER,September,2.31,2024,9/1/2024
JEMBER,Oktober,2.14,2024,10/1/2024
JEMBER,November,1.19,2024,11/1/2024
JEMBER,Desember,2.29,2024,12/1/2024
KAB ACEH TAMIANG,Januari,2.23,2024,1/1/2024
KAB ACEH TAMIANG,Februari,1.76,2024,2/1/2024
KAB ACEH TAMIANG,Maret,5.73,2024,3/1/2024
KAB ACEH TAMIANG,April,4.63,2024,4/1/2024
KAB ACEH TAMIANG,Mei,6.01,2024,5/1/2024
KAB ACEH TAMIANG,Juni,5.5,2024,6/1/2024
KAB ACEH TAMIANG,Juli,0.6,2024,7/1/2024
KAB ACEH TAMIANG,Agustus,-0.28,2024,8/1/2024
KAB ACEH TAMIANG,September,-0.6,2024,9/1/2024
KAB ACEH TAMIANG,Oktober,-0.1,2024,10/1/2024
KAB ACEH TAMIANG,November,-2.72,2024,11/1/2024
KAB ACEH TAMIANG,Desember,1.35,2024,12/1/2024
KAB ACEH TENGAH,Januari,2.7,2024,1/1/2024
KAB ACEH TENGAH,Februari,6.43,2024,2/1/2024
KAB ACEH TENGAH,Maret,7.29,2024,3/1/2024
KAB ACEH TENGAH,April,8.4,2024,4/1/2024
KAB ACEH TENGAH,Mei,9.47,2024,5/1/2024
KAB ACEH TENGAH,Juni,9.12,2024,6/1/2024
KAB ACEH TENGAH,Juli,4.18,2024,7/1/2024
KAB ACEH TENGAH,Agustus,1.12,2024,8/1/2024
KAB ACEH TENGAH,September,-2.43,2024,9/1/2024
KAB ACEH TENGAH,Oktober,-1.08,2024,10/1/2024
KAB ACEH TENGAH,November,-0.95,2024,11/1/2024
KAB ACEH TENGAH,Desember,1.65,2024,12/1/2024
KAB BADUNG,Januari,6.88,2024,1/1/2024
KAB BADUNG,Februari,8.42,2024,2/1/2024
KAB BADUNG,Maret,11.52,2024,3/1/2024
KAB BADUNG,April,12.97,2024,4/1/2024
KAB BADUNG,Mei,11.72,2024,5/1/2024
KAB BADUNG,Juni,6.46,2024,6/1/2024
KAB BADUNG,Juli,4.39,2024,7/1/2024
KAB BADUNG,Agustus,3.19,2024,8/1/2024
KAB BADUNG,September,3.6,2024,9/1/2024
KAB BADUNG,Oktober,3.86,2024,10/1/2024
KAB BADUNG,November,5.9,2024,11/1/2024
KAB BADUNG,Desember,4.33,2024,12/1/2024
KAB BANDUNG,Januari,7.04,2024,1/1/2024
KAB BANDUNG,Februari,7.36,2024,2/1/2024
KAB BANDUNG,Maret,8.06,2024,3/1/2024
KAB BANDUNG,April,4.88,2024,4/1/2024
KAB BANDUNG,Mei,3.87,2024,5/1/2024
KAB BANDUNG,Juni,2.68,2024,6/1/2024
KAB BANDUNG,Juli,2.45,2024,7/1/2024
KAB BANDUNG,Agustus,2.05,2024,8/1/2024
KAB BANDUNG,September,1.9,2024,9/1/2024
KAB BANDUNG,Oktober,0.99,2024,10/1/2024
KAB BANDUNG,November,0.52,2024,11/1/2024
KAB BANDUNG,Desember,0.57,2024,12/1/2024
KAB BANGKA BARAT,Januari,1.45,2024,1/1/2024
KAB BANGKA BARAT,Februari,2.92,2024,2/1/2024
KAB BANGKA BARAT,Maret,4.22,2024,3/1/2024
KAB BANGKA BARAT,April,2.79,2024,4/1/2024
KAB BANGKA BARAT,Mei,-1.4,2024,5/1/2024
KAB BANGKA BARAT,Juni,-1.78,2024,6/1/2024
KAB BANGKA BARAT,Juli,-1.31,2024,7/1/2024
KAB BANGKA BARAT,Agustus,-2.51,2024,8/1/2024
KAB BANGKA BARAT,September,-1.75,2024,9/1/2024
KAB BANGKA BARAT,Oktober,-3.23,2024,10/1/2024
KAB BANGKA BARAT,November,-3.83,2024,11/1/2024
KAB BANGKA BARAT,Desember,-3.86,2024,12/1/2024
KAB BELITUNG TIMUR,Januari,-5,2024,1/1/2024
KAB BELITUNG TIMUR,Februari,-3.21,2024,2/1/2024
KAB BELITUNG TIMUR,Maret,-0.67,2024,3/1/2024
KAB BELITUNG TIMUR,April,0.34,2024,4/1/2024
KAB BELITUNG TIMUR,Mei,2.37,2024,5/1/2024
KAB BELITUNG TIMUR,Juni,1.89,2024,6/1/2024
KAB BELITUNG TIMUR,Juli,0.2,2024,7/1/2024
KAB BELITUNG TIMUR,Agustus,0.87,2024,8/1/2024
KAB BELITUNG TIMUR,September,-1.78,2024,9/1/2024
KAB BELITUNG TIMUR,Oktober,-3.3,2024,10/1/2024
KAB BELITUNG TIMUR,November,-3.39,2024,11/1/2024
KAB BELITUNG TIMUR,Desember,0.86,2024,12/1/2024
KAB BERAU,Januari,1.65,2024,1/1/2024
KAB BERAU,Februari,11.14,2024,2/1/2024
KAB BERAU,Maret,11.41,2024,3/1/2024
KAB BERAU,April,9.56,2024,4/1/2024
KAB BERAU,Mei,9.38,2024,5/1/2024
KAB BERAU,Juni,9.18,2024,6/1/2024
KAB BERAU,Juli,4.69,2024,7/1/2024
KAB BERAU,Agustus,4.35,2024,8/1/2024
KAB BERAU,September,6.78,2024,9/1/2024
KAB BERAU,Oktober,7.61,2024,10/1/2024
KAB BERAU,November,5.88,2024,11/1/2024
KAB BERAU,Desember,4.38,2024,12/1/2024
KAB BOJONEGORO,Januari,11.45,2024,1/1/2024
KAB BOJONEGORO,Februari,10.4,2024,2/1/2024
KAB BOJONEGORO,Maret,9.91,2024,3/1/2024
KAB BOJONEGORO,April,10.02,2024,4/1/2024
KAB BOJONEGORO,Mei,5.65,2024,5/1/2024
KAB BOJONEGORO,Juni,0.72,2024,6/1/2024
KAB BOJONEGORO,Juli,0.9,2024,7/1/2024
KAB BOJONEGORO,Agustus,0.38,2024,8/1/2024
KAB BOJONEGORO,September,-0.17,2024,9/1/2024
KAB BOJONEGORO,Oktober,-0.53,2024,10/1/2024
KAB BOJONEGORO,November,-2.9,2024,11/1/2024
KAB BOJONEGORO,Desember,-2.48,2024,12/1/2024
KAB DELI SERDANG,Januari,4.73,2024,1/1/2024
KAB DELI SERDANG,Februari,3.51,2024,2/1/2024
KAB DELI SERDANG,Maret,7.07,2024,3/1/2024
KAB DELI SERDANG,April,8.17,2024,4/1/2024
KAB DELI SERDANG,Mei,10.38,2024,5/1/2024
KAB DELI SERDANG,Juni,7.67,2024,6/1/2024
KAB DELI SERDANG,Juli,1.76,2024,7/1/2024
KAB DELI SERDANG,Agustus,0.34,2024,8/1/2024
KAB DELI SERDANG,September,-0.82,2024,9/1/2024
KAB DELI SERDANG,Oktober,-0.78,2024,10/1/2024
KAB DELI SERDANG,November,-2.85,2024,11/1/2024
KAB DELI SERDANG,Desember,0.8,2024,12/1/2024
KAB DHARMASRAYA,Januari,3.97,2024,1/1/2024
KAB DHARMASRAYA,Februari,6.69,2024,2/1/2024
KAB DHARMASRAYA,Maret,9.63,2024,3/1/2024
KAB DHARMASRAYA,April,10.87,2024,4/1/2024
KAB DHARMASRAYA,Mei,10.1,2024,5/1/2024
KAB DHARMASRAYA,Juni,10.29,2024,6/1/2024
KAB DHARMASRAYA,Juli,3.31,2024,7/1/2024
KAB DHARMASRAYA,Agustus,6.11,2024,8/1/2024
KAB DHARMASRAYA,September,4.61,2024,9/1/2024
KAB DHARMASRAYA,Oktober,3.79,2024,10/1/2024
KAB DHARMASRAYA,November,-0.17,2024,11/1/2024
KAB DHARMASRAYA,Desember,-2.1,2024,12/1/2024
KAB GORONTALO,Januari,15.09,2024,1/1/2024
KAB GORONTALO,Februari,12.93,2024,2/1/2024
KAB GORONTALO,Maret,13.64,2024,3/1/2024
KAB GORONTALO,April,12.53,2024,4/1/2024
KAB GORONTALO,Mei,15.47,2024,5/1/2024
KAB GORONTALO,Juni,11.87,2024,6/1/2024
KAB GORONTALO,Juli,10.4,2024,7/1/2024
KAB GORONTALO,Agustus,7.67,2024,8/1/2024
KAB GORONTALO,September,7,2024,9/1/2024
KAB GORONTALO,Oktober,0.06,2024,10/1/2024
KAB GORONTALO,November,-0.84,2024,11/1/2024
KAB GORONTALO,Desember,-3.37,2024,12/1/2024
KAB GRESIK,Januari,4.15,2024,1/1/2024
KAB GRESIK,Februari,6.26,2024,2/1/2024
KAB GRESIK,Maret,7.2,2024,3/1/2024
KAB GRESIK,April,8.04,2024,4/1/2024
KAB GRESIK,Mei,7.1,2024,5/1/2024
KAB GRESIK,Juni,4.88,2024,6/1/2024
KAB GRESIK,Juli,3.66,2024,7/1/2024
KAB GRESIK,Agustus,4.02,2024,8/1/2024
KAB GRESIK,September,2.89,2024,9/1/2024
KAB GRESIK,Oktober,3.72,2024,10/1/2024
KAB GRESIK,November,3.12,2024,11/1/2024
KAB GRESIK,Desember,2.71,2024,12/1/2024
KAB GUNUNGKIDUL,Januari,8.88,2024,1/1/2024
KAB GUNUNGKIDUL,Februari,9.83,2024,2/1/2024
KAB GUNUNGKIDUL,Maret,11.04,2024,3/1/2024
KAB GUNUNGKIDUL,April,8.75,2024,4/1/2024
KAB GUNUNGKIDUL,Mei,5.75,2024,5/1/2024
KAB GUNUNGKIDUL,Juni,6.54,2024,6/1/2024
KAB GUNUNGKIDUL,Juli,5.68,2024,7/1/2024
KAB GUNUNGKIDUL,Agustus,5.34,2024,8/1/2024
KAB GUNUNGKIDUL,September,2.57,2024,9/1/2024
KAB GUNUNGKIDUL,Oktober,1.27,2024,10/1/2024
KAB GUNUNGKIDUL,November,-1.35,2024,11/1/2024
KAB GUNUNGKIDUL,Desember,-1.12,2024,12/1/2024
KAB HALMAHERA TENGAH,Januari,11.06,2024,1/1/2024
KAB HALMAHERA TENGAH,Februari,10.1,2024,2/1/2024
KAB HALMAHERA TENGAH,Maret,5.17,2024,3/1/2024
KAB HALMAHERA TENGAH,April,1.7,2024,4/1/2024
KAB HALMAHERA TENGAH,Mei,1.24,2024,5/1/2024
KAB HALMAHERA TENGAH,Juni,1.55,2024,6/1/2024
KAB HALMAHERA TENGAH,Juli,2.09,2024,7/1/2024
KAB HALMAHERA TENGAH,Agustus,2.43,2024,8/1/2024
KAB HALMAHERA TENGAH,September,2.11,2024,9/1/2024
KAB HALMAHERA TENGAH,Oktober,3.09,2024,10/1/2024
KAB HALMAHERA TENGAH,November,4.94,2024,11/1/2024
KAB HALMAHERA TENGAH,Desember,-0.55,2024,12/1/2024
KAB HULU SUNGAI TENGAH,Januari,10.96,2024,1/1/2024
KAB HULU SUNGAI TENGAH,Februari,5.59,2024,2/1/2024
