region,month,inflation,year,date
KAB ACEH TENGAH,Januari,6.52,2025,1/1/2025
MEULABOH,Januari,2.91,2025,1/1/2025
KAB ACEH TENGAH,Februari,1.48,2025,2/1/2025
KAB ACEH TENGAH,Maret,0.36,2025,3/1/2025
KAB ACEH TENGAH,April,3.96,2025,4/1/2025
KAB ACEH TENGAH,Mei,2.16,2025,5/1/2025
KAB ACEH TENGAH,Juni,0.68,2025,6/1/2025
KAB ACEH TENGAH,Juli,4.01,2025,7/1/2025
KAB ACEH TENGAH,Agustus,8.92,2025,8/1/2025
KAB ACEH TENGAH,September,10.97,2025,9/1/2025
KAB ACEH TENGAH,Oktober,10.99,2025,10/1/2025
KAB ACEH TENGAH,November,6.83,2025,11/1/2025
KAB ACEH TENGAH,Desember,17.41,2025,12/1/2025
MEULABOH,Februari,-0.38,2025,2/1/2025
MEULABOH,Maret,-1.09,2025,3/1/2025
MEULABOH,April,2.19,2025,4/1/2025
MEULABOH,Mei,2.73,2025,5/1/2025
MEULABOH,Juni,1.19,2025,6/1/2025
MEULABOH,Juli,5.37,2025,7/1/2025
MEULABOH,Agustus,8.62,2025,8/1/2025
MEULABOH,September,8.22,2025,9/1/2025
MEULABOH,Oktober,7.15,2025,10/1/2025
MEULABOH,November,3.25,2025,11/1/2025
MEULABOH,Desember,9,2025,12/1/2025
KAB ACEH TAMIANG,Januari,7.16,2025,1/1/2025
KAB ACEH TAMIANG,Februari,6.01,2025,2/1/2025
KAB ACEH TAMIANG,Maret,4.14,2025,3/1/2025
KAB ACEH TAMIANG,April,3.87,2025,4/1/2025
KAB ACEH TAMIANG,Mei,0.81,2025,5/1/2025
KAB ACEH TAMIANG,Juni,0.69,2025,6/1/2025
KAB ACEH TAMIANG,Juli,6.84,2025,7/1/2025
KAB ACEH TAMIANG,Agustus,9.01,2025,8/1/2025
KAB ACEH TAMIANG,September,11.39,2025,9/1/2025
KAB ACEH TAMIANG,Oktober,10.74,2025,10/1/2025
KAB ACEH TAMIANG,November,6.45,2025,11/1/2025
KAB ACEH TAMIANG,Desember,15.68,2025,12/1/2025
KOTA BANDA ACEH,Januari,3.18,2025,1/1/2025
KOTA BANDA ACEH,Februari,0.61,2025,2/1/2025
KOTA BANDA ACEH,Maret,0.62,2025,3/1/2025
KOTA BANDA ACEH,April,4.11,2025,4/1/2025
KOTA BANDA ACEH,Mei,1.63,2025,5/1/2025
KOTA BANDA ACEH,Juni,1.65,2025,6/1/2025
KOTA BANDA ACEH,Juli,5.6,2025,7/1/2025
KOTA BANDA ACEH,Agustus,7.79,2025,8/1/2025
KOTA BANDA ACEH,September,9.54,2025,9/1/2025
KOTA BANDA ACEH,Oktober,9.21,2025,10/1/2025
KOTA BANDA ACEH,November,5.85,2025,11/1/2025
KOTA BANDA ACEH,Desember,13.57,2025,12/1/2025
KOTA LHOKSEUMAWE,Januari,8.15,2025,1/1/2025
KOTA LHOKSEUMAWE,Februari,4.78,2025,2/1/2025
KOTA LHOKSEUMAWE,Maret,2.76,2025,3/1/2025
KOTA LHOKSEUMAWE,April,4.15,2025,4/1/2025
KOTA LHOKSEUMAWE,Mei,2.2,2025,5/1/2025
KOTA LHOKSEUMAWE,Juni,1.2,2025,6/1/2025
KOTA LHOKSEUMAWE,Juli,7.16,2025,7/1/2025
KOTA LHOKSEUMAWE,Agustus,10.11,2025,8/1/2025
KOTA LHOKSEUMAWE,September,9.66,2025,9/1/2025
KOTA LHOKSEUMAWE,Oktober,11.53,2025,10/1/2025
KOTA LHOKSEUMAWE,November,9.09,2025,11/1/2025
KOTA LHOKSEUMAWE,Desember,12.01,2025,12/1/2025
KAB LABUHANBATU,Januari,7.85,2025,1/1/2025
KAB LABUHANBATU,Februari,3.35,2025,2/1/2025
KAB LABUHANBATU,Maret,-1.75,2025,3/1/2025
KAB LABUHANBATU,April,-0.49,2025,4/1/2025
KAB LABUHANBATU,Mei,-2.92,2025,5/1/2025
KAB LABUHANBATU,Juni,-2,2025,6/1/2025
KAB LABUHANBATU,Juli,2.1,2025,7/1/2025
KAB LABUHANBATU,Agustus,7.38,2025,8/1/2025
KAB LABUHANBATU,September,12.32,2025,9/1/2025
KAB LABUHANBATU,Oktober,10.75,2025,10/1/2025
KAB LABUHANBATU,November,4.67,2025,11/1/2025
KAB LABUHANBATU,Desember,6.89,2025,12/1/2025
KAB KARO,Januari,5.46,2025,1/1/2025
KAB KARO,Februari,1.99,2025,2/1/2025
KAB KARO,Maret,0.82,2025,3/1/2025
KAB KARO,April,0.15,2025,4/1/2025
KAB KARO,Mei,-1.7,2025,5/1/2025
KAB KARO,Juni,-1.47,2025,6/1/2025
